Model,GPUs (48GB AMD W7900),Storage Location,Size,Download Status,Test Script,,,,
Alibaba-NLP/Tongyi-DeepResearch-30B-A3B,2,SSD2,56.9GB,Completed (SSD2),18_Alibaba-NLP__Tongyi-DeepResearch-30B-A3B.ipynb,,,,
black-forest-labs/FLUX.2-dev,4,SSD2,105.5GB,Completed (SSD2),96_black-forest-labs__FLUX.2-dev.ipynb,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,SSD2,61.0GB,Completed (SSD2),10_deepseek-ai__DeepSeek-R1-Distill-Qwen-32B.ipynb,,,,
google/diffusiongemma-26B-A4B-it,2,SSD2,48.1GB,Completed (SSD2),22_google__diffusiongemma-26B-A4B-it.ipynb,,,,
google/gemma-3-27b-it,2,SSD2,51.1GB,Completed (SSD2),19_google__gemma-3-27b-it.ipynb,,,,
google/gemma-4-26B-A4B,2,SSD2,48.1GB,Completed (SSD2),23_google__gemma-4-26B-A4B.ipynb,,,,
google/gemma-4-26B-A4B-it,2,SSD2,48.1GB,Completed (SSD2),25_google__gemma-4-26B-A4B-it.ipynb,,,,
google/gemma-4-26B-A4B-it-qat-q4_0-unquantized,2,SSD2,48.1GB,Completed (SSD2),24_google__gemma-4-26B-A4B-it-qat-q4_0-unquantized.ipynb,,,,
google/gemma-4-31B,2,SSD2,58.3GB,Completed (SSD2),11_google__gemma-4-31B.ipynb,,,,
google/gemma-4-31B-it,2,SSD2,81.2GB,Completed (SSD2),13_google__gemma-4-31B-it.ipynb,,,,
google/gemma-4-31B-it-qat-q4_0-unquantized,2,SSD2,121.3GB,Completed (SSD2),12_google__gemma-4-31B-it-qat-q4_0-unquantized.ipynb,,,,
meta-llama/Llama-3.3-70B-Instruct,4,SSD2,43.8KB,Incomplete,04_meta-llama__Llama-3.3-70B-Instruct.ipynb,,,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,1,SSD2,39.8KB,Incomplete,02_meta-llama__Llama-4-Scout-17B-16E-Instruct.ipynb,,,,
openai/gpt-oss-120b,4,SSD2,121.6GB,Completed (SSD2),01_openai__gpt-oss-120b.ipynb,,,,
OpenGVLab/InternVL3-78B,4,SSD2,146.1GB,Completed (SSD2),03_OpenGVLab__InternVL3-78B.ipynb,,,,
poolside/Laguna-XS.2,2,SSD2,73.7GB,Completed (SSD2),97_poolside__Laguna-XS.2.ipynb,,,,
Qwen/Qwen3-30B-A3B,2,SSD2,56.9GB,Completed (SSD2),16_Qwen__Qwen3-30B-A3B.ipynb,,,,
Qwen/Qwen3-30B-A3B-Instruct-2507,2,SSD2,64.3GB,Completed (SSD2),17_Qwen__Qwen3-30B-A3B-Instruct-2507.ipynb,,,,
Qwen/Qwen3-32B,2,SSD2,61.0GB,Completed (SSD2),07_Qwen__Qwen3-32B.ipynb,,,,
Qwen/Qwen3-Coder-30B-A3B-Instruct,2,SSD2,56.9GB,Completed (SSD2),14_Qwen__Qwen3-Coder-30B-A3B-Instruct.ipynb,,,,
Qwen/Qwen3-Omni-30B-A3B-Instruct,2,SSD2,83.9GB,Completed (SSD2),15_Qwen__Qwen3-Omni-30B-A3B-Instruct.ipynb,,,,
Qwen/Qwen3-VL-32B-Instruct,2,SSD2,62.1GB,Completed (SSD2),08_Qwen__Qwen3-VL-32B-Instruct.ipynb,,,,
Qwen/Qwen3.5-27B,2,SSD2,51.8GB,Completed (SSD2),20_Qwen__Qwen3.5-27B.ipynb,,,,
Qwen/Qwen3.5-35B-A3B,2,SSD2,67.0GB,Completed (SSD2),05_Qwen__Qwen3.5-35B-A3B.ipynb,,,,
Qwen/Qwen3.6-27B,2,SSD2,51.8GB,Completed (SSD2),21_Qwen__Qwen3.6-27B.ipynb,,,,
Qwen/Qwen3.6-35B-A3B,2,SSD2,67.0GB,Completed (SSD2),06_Qwen__Qwen3.6-35B-A3B.ipynb,,,,
Qwen/QwQ-32B,2,SSD2,61.0GB,Completed (SSD2),09_Qwen__QwQ-32B.ipynb,,,,
Tongyi-MAI/Z-Image-Turbo,1,SSD2,30.6GB,Completed (SSD2),95_Tongyi-MAI__Z-Image-Turbo.ipynb,,,,
zai-org/GLM-4.7-Flash,2,SSD2,58.2GB,Completed (SSD2),98_zai-org__GLM-4.7-Flash.ipynb,,,,
allenai/olmOCR-7B-0225-preview,1,SSD1,15.5GB,Completed (SSD1),51_allenai__olmOCR-7B-0225-preview.ipynb,,,,
BAAI/bge-m3,1,SSD1,4.3GB,Completed (SSD1),88_BAAI__bge-m3.ipynb,,,,
baidu/ERNIE-4.5-21B-A3B-Thinking,2,SSD1,40.7GB,Completed (SSD1),26_baidu__ERNIE-4.5-21B-A3B-Thinking.ipynb,,,,
baidu/Qianfan-OCR,1,SSD1,8.8GB,Completed (SSD1),119_baidu__Qianfan-OCR.ipynb,,,,
black-forest-labs/FLUX.1-dev,1,SSD1,53.9GB,Completed (SSD1),35_black-forest-labs__FLUX.1-dev.ipynb,,,,
black-forest-labs/FLUX.2-klein-9B,1,SSD1,49.3GB,Completed (SSD1),38_black-forest-labs__FLUX.2-klein-9B.ipynb,,,,
bosonai/higgs-audio-v2-generation-3B-base,1,SSD1,10.8GB,Completed (SSD1),65_bosonai__higgs-audio-v2-generation-3B-base.ipynb,,,,
CohereLabs/North-Mini-Code-1.0,1,SSD1,63.6GB,Completed (SSD1),99_CohereLabs__North-Mini-Code-1.0.ipynb,,,,
deepseek-ai/DeepSeek-OCR,1,SSD1,6.2GB,Completed (SSD1),121_deepseek-ai__DeepSeek-OCR.ipynb,,,,
deepseek-ai/DeepSeek-OCR-2,1,SSD1,6.3GB,Completed (SSD1),120_deepseek-ai__DeepSeek-OCR-2.ipynb,,,,
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1,SSD1,15.3GB,Completed (SSD1),42_deepseek-ai__DeepSeek-R1-0528-Qwen3-8B.ipynb,,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,SSD1,15.0GB,Completed (SSD1),43_deepseek-ai__DeepSeek-R1-Distill-Llama-8B.ipynb,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1,SSD1,3.3GB,Completed (SSD1),77_deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B.ipynb,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,SSD1,14.2GB,Completed (SSD1),49_deepseek-ai__DeepSeek-R1-Distill-Qwen-7B.ipynb,,,,
deepseek-ai/Janus-Pro-7B,1,SSD1,13.8GB,Completed (SSD1),47_deepseek-ai__Janus-Pro-7B.ipynb,,,,
google/functiongemma-270m-it,1,SSD1,823.9MB,Completed (SSD1),93_google__functiongemma-270m-it.ipynb,,,,
google/gemma-3-12b-it,1,SSD1,22.7GB,Completed (SSD1),34_google__gemma-3-12b-it.ipynb,,,,
google/gemma-3-1b-it,1,SSD1,1.9GB,Completed (SSD1),80_google__gemma-3-1b-it.ipynb,,,,
google/gemma-3-270m,1,SSD1,548.8MB,Completed (SSD1),92_google__gemma-3-270m.ipynb,,,,
google/gemma-3-4b-it,1,SSD1,10.4GB,Completed (SSD1),55_google__gemma-3-4b-it.ipynb,,,,
google/gemma-3n-E4B-it,1,SSD1,14.7GB,Completed (SSD1),108_google__gemma-3n-E4B-it.ipynb,,,,
google/gemma-4-12B,1,SSD1,22.3GB,Completed (SSD1),31_google__gemma-4-12B.ipynb,,,,
google/gemma-4-12B-it,1,SSD1,22.3GB,Completed (SSD1),30_google__gemma-4-12B-it.ipynb,,,,
google/gemma-4-12B-it-assistant,1,SSD1,837.3MB,Completed (SSD1),32_google__gemma-4-12B-it-assistant.ipynb,,,,
google/gemma-4-12B-it-qat-q4_0-unquantized,1,SSD1,22.3GB,Completed (SSD1),33_google__gemma-4-12B-it-qat-q4_0-unquantized.ipynb,,,,
google/gemma-4-E2B,1,SSD1,9.6GB,Completed (SSD1),113_google__gemma-4-E2B.ipynb,,,,
google/gemma-4-E2B-it,1,SSD1,9.6GB,Completed (SSD1),112_google__gemma-4-E2B-it.ipynb,,,,
google/gemma-4-E4B,1,SSD1,14.9GB,Completed (SSD1),110_google__gemma-4-E4B.ipynb,,,,
google/gemma-4-E4B-it,1,SSD1,14.9GB,Completed (SSD1),63_google__gemma-4-E4B-it.ipynb,,,,
google/medgemma-1.5-4b-it,1,SSD1,8.0GB,Completed (SSD1),54_google__medgemma-1.5-4b-it.ipynb,,,,
google/medgemma-4b-it,1,SSD1,10.3GB,Completed (SSD1),57_google__medgemma-4b-it.ipynb,,,,
google/siglip2-base-patch16-naflex,1,SSD1,1.4GB,Completed (SSD1),124_google__siglip2-base-patch16-naflex.ipynb,,,,
google/siglip2-so400m-patch16-256,1,SSD1,4.3GB,Completed (SSD1),123_google__siglip2-so400m-patch16-256.ipynb,,,,
google/siglip2-so400m-patch16-naflex,1,SSD1,4.3GB,Completed (SSD1),122_google__siglip2-so400m-patch16-naflex.ipynb,,,,
google/translategemma-4b-it,1,SSD1,8.0GB,Completed (SSD1),59_google__translategemma-4b-it.ipynb,,,,
HuggingFaceTB/SmolLM3-3B,1,SSD1,5.7GB,Completed (SSD1),64_HuggingFaceTB__SmolLM3-3B.ipynb,,,,
HuggingFaceTB/SmolVLM-256M-Instruct,1,SSD1,3.3GB,Completed (SSD1),94_HuggingFaceTB__SmolVLM-256M-Instruct.ipynb,,,,
ibm-granite/granite-4.1-8b,1,SSD1,16.4GB,Completed (SSD1),45_ibm-granite__granite-4.1-8b.ipynb,,,,
ibm-granite/granite-docling-258M,1,SSD1,505.3MB,Completed (SSD1),91_ibm-granite__granite-docling-258M.ipynb,,,,
ibm-granite/granite-speech-4.1-2b,1,SSD1,4.0GB,Completed (SSD1),68_ibm-granite__granite-speech-4.1-2b.ipynb,,,,
jinaai/ReaderLM-v2,1,SSD1,21.9GB,Completed (SSD1),115_jinaai__ReaderLM-v2.ipynb,,,,
lightonai/LightOnOCR-2-1B,1,SSD1,1.9GB,Completed (SSD1),82_lightonai__LightOnOCR-2-1B.ipynb,,,,
microsoft/bitnet-b1.58-2B-4T,1,SSD1,1.1GB,Completed (SSD1),70_microsoft__bitnet-b1.58-2B-4T.ipynb,,,,
microsoft/FastContext-1.0-4B-SFT,1,SSD1,12.0GB,Completed (SSD1),56_microsoft__FastContext-1.0-4B-SFT.ipynb,,,,
microsoft/Phi-4-mini-instruct,1,SSD1,7.2GB,Completed (SSD1),111_microsoft__Phi-4-mini-instruct.ipynb,,,,
microsoft/Phi-4-multimodal-instruct,1,SSD1,16.4GB,Completed (SSD1),109_microsoft__Phi-4-multimodal-instruct.ipynb,,,,
microsoft/UserLM-8b,1,SSD1,29.9GB,Completed (SSD1),41_microsoft__UserLM-8b.ipynb,,,,
microsoft/VibeVoice-1.5B,1,SSD1,5.0GB,Completed (SSD1),76_microsoft__VibeVoice-1.5B.ipynb,,,,
microsoft/VibeVoice-ASR,1,SSD1,16.2GB,Completed (SSD1),125_microsoft__VibeVoice-ASR.ipynb,,,,
microsoft/VibeVoice-Realtime-0.5B,1,SSD1,1.9GB,Completed (SSD1),89_microsoft__VibeVoice-Realtime-0.5B.ipynb,,,,
moonshotai/MoonViT-SO-400M,1,SSD1,795.7MB,Completed (SSD1),90_moonshotai__MoonViT-SO-400M.ipynb,,,,
openai/gpt-oss-20b,1,SSD1,38.5GB,Completed (SSD1),27_openai__gpt-oss-20b.ipynb,,,,
openai/privacy-filter,1,SSD1,16.2GB,Completed (SSD1),117_openai__privacy-filter.ipynb,,,,
openai/whisper-large-v3-turbo,1,SSD1,2.4GB,Completed (SSD1),84_openai__whisper-large-v3-turbo.ipynb,,,,
openbmb/MiniCPM-o-2_6,1,SSD1,16.2GB,Completed (SSD1),107_openbmb__MiniCPM-o-2_6.ipynb,,,,
openbmb/MiniCPM-o-4_5,1,SSD1,29.4GB,Completed (SSD1),102_openbmb__MiniCPM-o-4_5.ipynb,,,,
openbmb/MiniCPM-SALA,1,SSD1,17.7GB,Completed (SSD1),106_openbmb__MiniCPM-SALA.ipynb,,,,
openbmb/MiniCPM-V-4.6,1,SSD1,2.4GB,Completed (SSD1),116_openbmb__MiniCPM-V-4.6.ipynb,,,,
openbmb/MiniCPM-V-4_5,1,SSD1,16.2GB,Completed (SSD1),104_openbmb__MiniCPM-V-4_5.ipynb,,,,
openbmb/MiniCPM5-1B,1,SSD1,2.0GB,Completed (SSD1),79_openbmb__MiniCPM5-1B.ipynb,,,,
Qwen/Qwen2.5-Omni-3B,1,SSD1,6.5GB,Completed (SSD1),67_Qwen__Qwen2.5-Omni-3B.ipynb,,,,
Qwen/Qwen2.5-Omni-7B,1,SSD1,20.8GB,Completed (SSD1),48_Qwen__Qwen2.5-Omni-7B.ipynb,,,,
Qwen/Qwen2.5-VL-3B-Instruct,1,SSD1,7.0GB,Completed (SSD1),66_Qwen__Qwen2.5-VL-3B-Instruct.ipynb,,,,
Qwen/Qwen2.5-VL-7B-Instruct,1,SSD1,15.5GB,Completed (SSD1),52_Qwen__Qwen2.5-VL-7B-Instruct.ipynb,,,,
Qwen/Qwen3-0.6B,1,SSD1,1.4GB,Completed (SSD1),85_Qwen__Qwen3-0.6B.ipynb,,,,
Qwen/Qwen3-1.7B,1,SSD1,4.3GB,Completed (SSD1),75_Qwen__Qwen3-1.7B.ipynb,,,,
Qwen/Qwen3-14B,1,SSD1,27.5GB,Completed (SSD1),28_Qwen__Qwen3-14B.ipynb,,,,
Qwen/Qwen3-4B,1,SSD1,7.5GB,Completed (SSD1),60_Qwen__Qwen3-4B.ipynb,,,,
Qwen/Qwen3-4B-Instruct-2507,1,SSD1,7.5GB,Completed (SSD1),58_Qwen__Qwen3-4B-Instruct-2507.ipynb,,,,
Qwen/Qwen3-8B,1,SSD1,15.3GB,Completed (SSD1),39_Qwen__Qwen3-8B.ipynb,,,,
Qwen/Qwen3-ASR-0.6B,1,SSD1,1.8GB,Completed (SSD1),87_Qwen__Qwen3-ASR-0.6B.ipynb,,,,
Qwen/Qwen3-ASR-1.7B,1,SSD1,4.6GB,Completed (SSD1),74_Qwen__Qwen3-ASR-1.7B.ipynb,,,,
Qwen/Qwen3-Reranker-0.6B,1,SSD1,1.1GB,Completed (SSD1),86_Qwen__Qwen3-Reranker-0.6B.ipynb,,,,
Qwen/Qwen3-Reranker-4B,1,SSD1,7.5GB,Completed (SSD1),62_Qwen__Qwen3-Reranker-4B.ipynb,,,,
Qwen/Qwen3-Reranker-8B,1,SSD1,15.3GB,Completed (SSD1),44_Qwen__Qwen3-Reranker-8B.ipynb,,,,
Qwen/Qwen3-VL-2B-Instruct,1,SSD1,4.0GB,Completed (SSD1),71_Qwen__Qwen3-VL-2B-Instruct.ipynb,,,,
Qwen/Qwen3-VL-4B-Instruct,1,SSD1,8.3GB,Completed (SSD1),61_Qwen__Qwen3-VL-4B-Instruct.ipynb,,,,
Qwen/Qwen3-VL-8B-Instruct,1,SSD1,16.3GB,Completed (SSD1),40_Qwen__Qwen3-VL-8B-Instruct.ipynb,,,,
Qwen/Qwen3.5-0.8B,1,SSD1,1.7GB,Completed (SSD1),83_Qwen__Qwen3.5-0.8B.ipynb,,,,
Qwen/Qwen3.5-2B,1,SSD1,4.3GB,Completed (SSD1),69_Qwen__Qwen3.5-2B.ipynb,,,,
Qwen/Qwen3.5-4B,1,SSD1,8.7GB,Completed (SSD1),53_Qwen__Qwen3.5-4B.ipynb,,,,
Qwen/Qwen3.5-9B,1,SSD1,18.0GB,Completed (SSD1),36_Qwen__Qwen3.5-9B.ipynb,,,,
sapientinc/HRM-Text-1B,1,SSD1,2.2GB,Completed (SSD1),78_sapientinc__HRM-Text-1B.ipynb,,,,
sesame/csm-1b,1,SSD1,18.6GB,Completed (SSD1),81_sesame__csm-1b.ipynb,,,,
tencent/Hunyuan-MT-7B,1,SSD1,15.0GB,Completed (SSD1),50_tencent__Hunyuan-MT-7B.ipynb,,,,
tencent/HY-MT1.5-1.8B,1,SSD1,3.8GB,Completed (SSD1),73_tencent__HY-MT1.5-1.8B.ipynb,,,,
tencent/Hy-MT2-1.8B,1,SSD1,3.8GB,Completed (SSD1),72_tencent__Hy-MT2-1.8B.ipynb,,,,
Wan-AI/Wan2.2-T2V-A14B,4,SSD1,117.5GB,Completed (SSD1),29_Wan-AI__Wan2.2-T2V-A14B.ipynb,,,,
zai-org/GLM-4.1V-9B-Thinking,1,SSD1,19.2GB,Completed (SSD1),37_zai-org__GLM-4.1V-9B-Thinking.ipynb,,,,
zai-org/GLM-OCR,1,SSD1,2.5GB,Completed (SSD1),100_zai-org__GLM-OCR.ipynb,,,,
CohereLabs/cohere-transcribe-03-2026,1,SSD1,20.8KB,Incomplete,118_CohereLabs__cohere-transcribe-03-2026.ipynb,,,,
facebook/sam3,1,SSD1,33.0KB,Incomplete,114_facebook__sam3.ipynb,,,,
meta-llama/Llama-3.1-8B-Instruct,1,SSD1,50.8KB,Incomplete,46_meta-llama__Llama-3.1-8B-Instruct.ipynb,,,,
zai-org/GLM-4.5,16,SSD1,413.0GB,Skipped (Manual),101_zai-org__GLM-4.5.ipynb,,,,
zai-org/GLM-4.5V,8,SSD1,219.6GB,Skipped (Manual),105_zai-org__GLM-4.5V.ipynb,,,,
,,,,,,,,,
