notebook,model_id,elapsed_seconds,vram_peak_gb,passed_run_id
110_google__gemma-4-E4B.ipynb,google/gemma-4-E4B,21.7,16.3,28229270525
112_google__gemma-4-E2B-it.ipynb,google/gemma-4-E2B-it,16.1,10.8,28229270525
113_google__gemma-4-E2B.ipynb,google/gemma-4-E2B,16.0,10.8,28229270525
117_openai__privacy-filter.ipynb,openai/privacy-filter,11.5,6.0,28229270525
122_google__siglip2-so400m-patch16-naflex.ipynb,google/siglip2-so400m-patch16-naflex,14.5,5.6,28229270525
123_google__siglip2-so400m-patch16-256.ipynb,google/siglip2-so400m-patch16-256,19.2,10.4,28229270525
124_google__siglip2-base-patch16-naflex.ipynb,google/siglip2-base-patch16-naflex,11.0,2.1,28229270525
32_google__gemma-4-12B-it-assistant.ipynb,google/gemma-4-12B-it-assistant,8.6,0.1,28229270525
39_Qwen__Qwen3-8B.ipynb,Qwen/Qwen3-8B,45.9,33.7,28229270525
42_deepseek-ai__DeepSeek-R1-0528-Qwen3-8B.ipynb,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,50.9,33.8,28229270525
43_deepseek-ai__DeepSeek-R1-Distill-Llama-8B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,38.4,33.1,28229270525
44_Qwen__Qwen3-Reranker-8B.ipynb,Qwen/Qwen3-Reranker-8B,19.5,16.9,28229270525
49_deepseek-ai__DeepSeek-R1-Distill-Qwen-7B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,39.0,31.4,28229270525
56_microsoft__FastContext-1.0-4B-SFT.ipynb,microsoft/FastContext-1.0-4B-SFT,29.0,17.0,28229270525
58_Qwen__Qwen3-4B-Instruct-2507.ipynb,Qwen/Qwen3-4B-Instruct-2507,25.9,17.0,28229270525
59_google__translategemma-4b-it.ipynb,google/translategemma-4b-it,22.1,17.7,28229270525
60_Qwen__Qwen3-4B.ipynb,Qwen/Qwen3-4B,18.2,16.5,28229270525
62_Qwen__Qwen3-Reranker-4B.ipynb,Qwen/Qwen3-Reranker-4B,12.2,8.5,28229270525
63_google__gemma-4-E4B-it.ipynb,google/gemma-4-E4B-it,21.9,16.4,28229270525
65_bosonai__higgs-audio-v2-generation-3B-base.ipynb,bosonai/higgs-audio-v2-generation-3B-base,139.4,11.1,28229270525
74_Qwen__Qwen3-ASR-1.7B.ipynb,Qwen/Qwen3-ASR-1.7B,5.8,0.1,28229270525
75_Qwen__Qwen3-1.7B.ipynb,Qwen/Qwen3-1.7B,23.5,8.5,28229270525
77_deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16.5,8.1,28229270525
78_sapientinc__HRM-Text-1B.ipynb,sapientinc/HRM-Text-1B,10.7,5.2,28229270525
79_openbmb__MiniCPM5-1B.ipynb,openbmb/MiniCPM5-1B,14.7,5.3,28229270525
84_openai__whisper-large-v3-turbo.ipynb,openai/whisper-large-v3-turbo,9.2,2.4,28229270525
85_Qwen__Qwen3-0.6B.ipynb,Qwen/Qwen3-0.6B,19.0,3.6,28229270525
86_Qwen__Qwen3-Reranker-0.6B.ipynb,Qwen/Qwen3-Reranker-0.6B,8.9,1.6,28229270525
87_Qwen__Qwen3-ASR-0.6B.ipynb,Qwen/Qwen3-ASR-0.6B,5.5,0.1,28229270525
88_BAAI__bge-m3.ipynb,BAAI/bge-m3,12.0,2.8,28229270525
92_google__gemma-3-270m.ipynb,google/gemma-3-270m,9.3,1.5,28229270525
93_google__functiongemma-270m-it.ipynb,google/functiongemma-270m-it,9.0,1.5,28229270525
94_HuggingFaceTB__SmolVLM-256M-Instruct.ipynb,HuggingFaceTB/SmolVLM-256M-Instruct,12.2,2.5,28229270525
